"year","game_date","avg_release_speed"
"2018",2018-08-03,85.2323529411765
"2018",2018-08-04,85.3639406053684
"2018",2018-08-05,85.4955282695603
"2018",2018-08-06,85.6271159337521
"2018",2018-08-07,85.758703597944
"2018",2018-08-08,85.8902912621359
"2018",2018-08-09,85.9504163295577
"2018",2018-08-10,86.0105413969795
"2018",2018-08-11,86.0706664644013
"2018",2018-08-12,86.1307915318231
"2018",2018-08-13,86.1909165992449
"2018",2018-08-14,86.2510416666667
"2018",2018-08-15,85.9950281954887
"2018",2018-08-16,85.7390147243108
"2018",2018-08-17,85.4830012531328
"2018",2018-08-18,85.2269877819549
"2018",2018-08-19,84.9709743107769
"2018",2018-08-20,84.714960839599
"2018",2018-08-21,84.458947368421
"2018",2018-08-22,84.719649122807
"2018",2018-08-23,84.9803508771929
"2018",2018-08-24,85.2410526315789
"2018",2018-08-25,85.5017543859649
"2018",2018-08-26,85.7624561403508
"2018",2018-08-27,86.0231578947368
"2018",2018-08-28,86.0014429824561
"2018",2018-08-29,85.9797280701754
"2018",2018-08-30,85.9580131578947
"2018",2018-08-31,85.936298245614
"2018",2018-09-01,85.9145833333333
"2018",2018-09-02,86.0560124269006
"2018",2018-09-03,86.1974415204678
"2018",2018-09-04,86.338870614035
"2018",2018-09-05,86.4802997076023
"2018",2018-09-06,86.6217288011696
"2018",2018-09-07,86.7631578947368
"2018",2018-09-08,86.5907460960092
"2018",2018-09-09,86.4183342972816
"2018",2018-09-10,86.2459224985541
"2018",2018-09-11,86.0735106998265
"2018",2018-09-12,85.9010989010989
"2018",2018-09-13,85.9879624542125
"2018",2018-09-14,86.074826007326
"2018",2018-09-15,86.1616895604396
"2018",2018-09-16,86.2485531135531
"2018",2018-09-17,86.3354166666667
"2018",2018-09-18,86.4066260162602
"2018",2018-09-19,86.4778353658537
"2018",2018-09-20,86.5490447154471
"2018",2018-09-21,86.6202540650406
"2018",2018-09-22,86.6914634146341
"2018",2018-09-23,86.0411620409307
"2018",2018-09-24,85.3908606672273
"2018",2018-09-25,84.740559293524
"2018",2018-09-26,84.0902579198206
"2018",2018-09-27,83.4399565461172
"2018",2018-09-28,82.7896551724138
"2019",2019-03-31,86.1510638297872
"2019",2019-04-01,85.9890648193963
"2019",2019-04-02,85.8270658090054
"2019",2019-04-03,85.6650667986146
"2019",2019-04-04,85.5030677882237
"2019",2019-04-05,85.3410687778328
"2019",2019-04-06,85.1790697674419
"2019",2019-04-07,85.2514260640632
"2019",2019-04-08,85.3237823606845
"2019",2019-04-09,85.3961386573058
"2019",2019-04-10,85.4684949539272
"2019",2019-04-11,85.5408512505485
"2019",2019-04-12,85.6132075471698
"2019",2019-04-13,85.6881090930465
"2019",2019-04-14,85.7630106389232
"2019",2019-04-15,85.8379121847998
"2019",2019-04-16,85.9128137306765
"2019",2019-04-17,85.9877152765532
"2019",2019-04-18,86.0626168224299
"2019",2019-04-19,86.121161419109
"2019",2019-04-20,86.179706015788
"2019",2019-04-21,86.2382506124671
"2019",2019-04-22,86.2967952091461
"2019",2019-04-23,86.3553398058252
"2019",2019-04-24,86.5004643309413
"2019",2019-04-25,86.6455888560574
"2019",2019-04-26,86.7907133811734
"2019",2019-04-27,86.9358379062895
"2019",2019-04-28,87.0809624314056
"2019",2019-04-29,87.2260869565217
"2019",2019-04-30,87.003920412675
"2019",2019-05-01,86.7817538688283
"2019",2019-05-02,86.5595873249815
"2019",2019-05-03,86.3374207811348
"2019",2019-05-04,86.1152542372881
"2019",2019-05-05,86.3436052589894
"2019",2019-05-06,86.5719562806906
"2019",2019-05-07,86.8003073023919
"2019",2019-05-08,87.0286583240931
"2019",2019-05-09,87.2570093457944
"2019",2019-05-10,87.1027547017423
"2019",2019-05-11,86.9485000576901
"2019",2019-05-12,86.794245413638
"2019",2019-05-13,86.6399907695858
"2019",2019-05-14,86.4857361255336
"2019",2019-05-15,86.3314814814815
"2019",2019-05-16,86.0394708994709
"2019",2019-05-17,85.7474603174603
"2019",2019-05-18,85.4554497354498
"2019",2019-05-19,85.1634391534392
"2019",2019-05-20,84.8714285714286
"2019",2019-05-21,85.1016256157636
"2019",2019-05-22,85.3318226600986
"2019",2019-05-23,85.5620197044335
"2019",2019-05-24,85.7922167487685
"2019",2019-05-25,86.0224137931035
"2019",2019-05-26,86.1430371352785
"2019",2019-05-27,86.2636604774536
"2019",2019-05-28,86.3842838196286
"2019",2019-05-29,86.5049071618037
"2019",2019-05-30,86.6255305039788
"2019",2019-05-31,86.7461538461538
"2019",2019-06-01,86.6488575780655
"2019",2019-06-02,86.5515613099771
"2019",2019-06-03,86.4542650418888
"2019",2019-06-04,86.3569687738005
"2019",2019-06-05,86.2596725057121
"2019",2019-06-06,86.1623762376238
"2019",2019-06-07,86.1326282628263
"2019",2019-06-08,86.1028802880288
"2019",2019-06-09,86.0731323132314
"2019",2019-06-10,86.0433843384339
"2019",2019-06-11,86.0136363636364
"2019",2019-06-12,86.2077238973898
"2019",2019-06-13,86.4018114311431
"2019",2019-06-14,86.5958989648965
"2019",2019-06-15,86.7899864986499
"2019",2019-06-16,86.9840740324033
"2019",2019-06-17,87.1781615661566
"2019",2019-06-18,87.37224909991
"2019",2019-06-19,87.5663366336634
"2019",2019-06-20,87.5704314002829
"2019",2019-06-21,87.5745261669024
"2019",2019-06-22,87.578620933522
"2019",2019-06-23,87.5827157001414
"2019",2019-06-24,87.586810466761
"2019",2019-06-25,87.5909052333805
"2019",2019-06-26,87.595
"2019",2019-06-27,87.358285440613
"2019",2019-06-28,87.1215708812261
"2019",2019-06-29,86.8848563218391
"2019",2019-06-30,86.6481417624521
"2019",2019-07-01,86.4114272030652
"2019",2019-07-02,86.1747126436782
"2019",2019-07-03,86.1159239610964
"2019",2019-07-04,86.0571352785146
"2019",2019-07-05,85.9983465959328
"2019",2019-07-06,85.939557913351
"2019",2019-07-07,85.8807692307692
"2019",2019-07-08,86.0821944236992
"2019",2019-07-09,86.2836196166293
"2019",2019-07-10,86.4850448095594
"2019",2019-07-11,86.6864700024894
"2019",2019-07-12,86.8878951954195
"2019",2019-07-13,87.0893203883495
